"filename", "language", "TXT", "XSL", "C++", "CSV", "Shell Script", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\inherit_learning\multi_multi_inherit.cpp", "C++", 0, 0, 0, 0, 0, -37, 0, -37
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\naworkAuthtic.sh", "Shell Script", 0, 0, 0, 0, -32, 0, -1, -33
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\polymorphic\ComputerAssembly.cpp", "C++", 0, 0, -125, 0, 0, -6, -3, -134
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\polymorphic\PureDestruction.cpp", "C++", 0, 0, 0, 0, 0, -93, -5, -98
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\polymorphic\PureVirtualFunctions.cpp", "C++", 0, 0, 0, 0, 0, -37, -2, -39
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\polymorphic\caculator.cpp", "C++", 0, 0, 0, 0, 0, -112, -2, -114
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\polymorphic\drinkMading.cpp", "C++", 0, 0, 0, 0, 0, -88, -1, -89
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\polymorphic\polymorphic.cpp", "C++", 0, 0, 0, 0, 0, -66, -1, -67
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\reference_learn\refer_learn.cpp", "C++", 0, 0, -133, 0, 0, -40, -1, -174
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\speech.csv", "CSV", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\speechRecord.csv", "CSV", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\struct-study\reference-test.cpp", "C++", 0, 0, 0, 0, 0, -21, -1, -22
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\struct-study\struct-array copy.cpp", "C++", 0, 0, 0, 0, 0, -32, -2, -34
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\struct-study\struct-array.cpp", "C++", 0, 0, 0, 0, 0, -26, -1, -27
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\struct-study\struct-first.cpp", "C++", 0, 0, -51, 0, 0, -14, -4, -69
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\test.xsl", "XSL", 0, -3, 0, 0, 0, 0, -1, -4
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\text.txt", "TXT", -6, 0, 0, 0, 0, 0, -1, -7
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\workTime.txt", "TXT", -4, 0, 0, 0, 0, 0, 0, -4
"e:\project-C++\CPPlearning\AdminFlie.txt", "TXT", 1, 0, 0, 0, 0, 0, 0, 1
"e:\project-C++\CPPlearning\Deep_copy\const_member.cpp", "C++", 0, 0, 27, 0, 0, 1, 1, 29
"e:\project-C++\CPPlearning\Deep_copy\deep_copy.cpp", "C++", 0, 0, 0, 0, 0, 103, 6, 109
"e:\project-C++\CPPlearning\Deep_copy\member_and_fun.cpp", "C++", 0, 0, 0, 0, 0, 65, 6, 71
"e:\project-C++\CPPlearning\Deep_copy\static_Person.cpp", "C++", 0, 0, 0, 0, 0, 45, 2, 47
"e:\project-C++\CPPlearning\EmployeeManagementSystem\Boss.cpp", "C++", 0, 0, 15, 0, 0, 0, 0, 15
"e:\project-C++\CPPlearning\EmployeeManagementSystem\Boss.h", "C++", 0, 0, 12, 0, 0, 0, 0, 12
"e:\project-C++\CPPlearning\EmployeeManagementSystem\EmployeeManagementSystem.cpp", "C++", 0, 0, 52, 0, 0, 9, 3, 64
"e:\project-C++\CPPlearning\EmployeeManagementSystem\employee.cpp", "C++", 0, 0, 15, 0, 0, 0, 0, 15
"e:\project-C++\CPPlearning\EmployeeManagementSystem\employee.h", "C++", 0, 0, 12, 0, 0, 0, 0, 12
"e:\project-C++\CPPlearning\EmployeeManagementSystem\manager.cpp", "C++", 0, 0, 15, 0, 0, 0, 0, 15
"e:\project-C++\CPPlearning\EmployeeManagementSystem\manager.h", "C++", 0, 0, 12, 0, 0, 0, 0, 12
"e:\project-C++\CPPlearning\EmployeeManagementSystem\workManager.cpp", "C++", 0, 0, 536, 0, 0, 15, 8, 559
"e:\project-C++\CPPlearning\EmployeeManagementSystem\workManager.h", "C++", 0, 0, 32, 0, 0, 0, 0, 32
"e:\project-C++\CPPlearning\EmployeeManagementSystem\worker.h", "C++", 0, 0, 13, 0, 0, 0, 0, 13
"e:\project-C++\CPPlearning\FileOperating\FileOperating.cpp", "C++", 0, 0, 104, 0, 0, 41, 4, 149
"e:\project-C++\CPPlearning\FileOperating\regexTest.cpp", "C++", 0, 0, 0, 0, 0, 43, 3, 46
"e:\project-C++\CPPlearning\Function_overloading\Function _overloading.cpp", "C++", 0, 0, 0, 0, 0, 75, 2, 77
"e:\project-C++\CPPlearning\Function_overloading\functionPoint.cpp", "C++", 0, 0, 48, 0, 0, 7, 1, 56
"e:\project-C++\CPPlearning\Function_study\bubble-sort.cpp", "C++", 0, 0, 0, 0, 0, 38, 1, 39
"e:\project-C++\CPPlearning\Function_study\compare.cpp", "C++", 0, 0, 16, 0, 0, 2, 0, 18
"e:\project-C++\CPPlearning\Function_study\cpsource.cpp", "C++", 0, 0, 6, 0, 0, 0, 2, 8
"e:\project-C++\CPPlearning\Function_study\max.h", "C++", 0, 0, 2, 0, 0, 0, 0, 2
"e:\project-C++\CPPlearning\Function_study\second.cpp", "C++", 0, 0, 0, 0, 0, 41, 1, 42
"e:\project-C++\CPPlearning\Function_study\test.cpp", "C++", 0, 0, 0, 0, 0, 19, 0, 19
"e:\project-C++\CPPlearning\Hanoi.cpp", "C++", 0, 0, 40, 0, 0, 1, 0, 41
"e:\project-C++\CPPlearning\NewFeature\Lambda.cpp", "C++", 0, 0, 0, 0, 0, 45, 3, 48
"e:\project-C++\CPPlearning\NewFeature\abnormal.cpp", "C++", 0, 0, 0, 0, 0, 24, 2, 26
"e:\project-C++\CPPlearning\NewFeature\auto.cpp", "C++", 0, 0, 47, 0, 0, 35, 1, 83
"e:\project-C++\CPPlearning\NewFeature\enumerate.cpp", "C++", 0, 0, 0, 0, 0, 48, 1, 49
"e:\project-C++\CPPlearning\Operator overloading\AssignmentOperator_overload.cpp", "C++", 0, 0, 162, 0, 0, 3, 6, 171
"e:\project-C++\CPPlearning\Operator overloading\IncreasingOperator_overloading.cpp", "C++", 0, 0, 0, 0, 0, 75, 4, 79
"e:\project-C++\CPPlearning\Operator overloading\addOperator_overloading.cpp", "C++", 0, 0, 0, 0, 0, 49, 0, 49
"e:\project-C++\CPPlearning\Operator overloading\leftOperrator_overloading.cpp", "C++", 0, 0, 0, 0, 0, 61, 0, 61
"e:\project-C++\CPPlearning\OrderFile.txt", "TXT", 1, 0, 0, 0, 0, 0, 1, 2
"e:\project-C++\CPPlearning\Person.txt", "TXT", 1, 0, 0, 0, 0, 0, 0, 1
"e:\project-C++\CPPlearning\RoomFile.txt", "TXT", 3, 0, 0, 0, 0, 0, 0, 3
"e:\project-C++\CPPlearning\RoomReservationSystem\RoomReserveSys.cpp", "C++", 0, 0, 220, 0, 0, 17, 2, 239
"e:\project-C++\CPPlearning\RoomReservationSystem\administrator.cpp", "C++", 0, 0, 617, 0, 0, 16, 3, 636
"e:\project-C++\CPPlearning\RoomReservationSystem\administrator.h", "C++", 0, 0, 36, 0, 0, 9, 0, 45
"e:\project-C++\CPPlearning\RoomReservationSystem\computerRoom.cpp", "C++", 0, 0, 27, 0, 0, 0, 1, 28
"e:\project-C++\CPPlearning\RoomReservationSystem\computerRoom.h", "C++", 0, 0, 17, 0, 0, 0, 1, 18
"e:\project-C++\CPPlearning\RoomReservationSystem\globalFile.h", "C++", 0, 0, 5, 0, 0, 5, 0, 10
"e:\project-C++\CPPlearning\RoomReservationSystem\identity.h", "C++", 0, 0, 14, 0, 0, 0, 0, 14
"e:\project-C++\CPPlearning\RoomReservationSystem\orderReserve.cpp", "C++", 0, 0, 66, 0, 0, 14, 0, 80
